,Title,Release Date,Price,Rating
0,A Boy and His Blob,4th Nov 2021,£13.49,8.2
1,A Building Full of Cats,24th Nov 2022,£2.49,0.0
2,A Case of Distrust,20th Sep 2018,£13.49,8.0
3,A Dark Room,12th Apr 2019,£6.29,6.67
4,A Duel Hand Disaster: Trackher,3rd Sep 2019,£8.09,5.13
5,A Fold Apart,17th Apr 2020,£16.99,7.57
6,A Fox and His Robot,1st Mar 2023,£49.99,0.0
7,A Frog Game,22nd Oct 2020,£0.89,0.0
8,A Frog's Job,6th Oct 2022,£4.99,6.67
9,A Glider's Journey,1st Mar 2021,£6.90,0.0
10,A Good Snowman is Hard to Build,2nd Sep 2021,£7.39,7.4
11,A Gummy's Life,25th Sep 2018,£17.99,5.17
12,A Hat in Time,18th Oct 2019,£25.19,7.88
13,A Hero and a Garden,28th Aug 2020,£4.99,7.3
14,A Hole New World,1st Mar 2018,£8.99,6.9
15,A Juggler's Tale,29th Sep 2021,£12.99,7.54
16,A Knight's Quest,10th Oct 2019,£19.99,6.38
17,A Light in the Dark,5th Apr 2023,£17.99,0.0
18,A Little Golf Journey,14th Oct 2021,£15.49,7.64
19,A Little Lily Princess,28th May 2021,£11.99,6.9
20,A Little to the Left,9th Nov 2022,£12.99,7.83
21,A Long Way Down,1st Apr 2021,£13.49,3.33
22,A Magical High School Girl,7th Jun 2018,£12.00,3.33
23,A Maiden Astrologer Divines the Future,26th Dec 2022,£7.57,0.0
24,A Matter of Principle,19th Jan 2023,£3.39,3.33
25,A Memoir Blue,24th Mar 2022,£5.99,6.0
26,A Monster's Expedition,5th Aug 2021,£15.09,8.59
27,A Musical Story,3rd Mar 2022,£13.49,8.5
28,A Night at the Races,3rd Sep 2021,£8.99,6.95
29,A Normal Lost Phone,1st Mar 2018,£5.49,7.45
30,A passive boy at the huntress clinic,9th Mar 2023,£14.90,0.0
31,A Place for the Unwilling,22nd Mar 2022,£13.49,0.0
32,A Plague Tale: Innocence - Cloud Version,6th Jul 2021,£35.99,8.1
33,A Plague Tale: Requieum - Cloud Version,18th Oct 2022,£49.99,6.67
34,A Pretty Odd Bunny,12th Nov 2021,£4.49,3.33
35,A Robot Named Fight,26th Apr 2018,£9.99,7.57
36,A Short Hike,18th Aug 2020,£6.29,9.34
37,A Sketchbook About Her Sun,15th Apr 2022,£4.49,0.0
38,A Sound Plan,20th Feb 2020,£4.09,0.0
39,A Space for the Unbound,19th Jan 2023,£17.99,8.46
40,A Street Cat's Tale,12th Mar 2020,£6.59,5.88
41,A Summer with the Shiba Inu,26th Jun 2020,£9.99,6.4
42,A Tale of Synapse: The Chaos Theories,30th Jun 2021,£13.49,5.47
43,A Winding Path,27th Oct 2022,£5.99,8.0
44,A Winter's Daydream,8th Oct 2019,£5.39,7.0
45,A Year of Springs,10th Dec 2021,£4.99,7.83
46,A-Train: All Aboard! Tourism,12th Mar 2021,£53.99,7.0
47,A.O.T. Attack on Titan 2,20th Mar 2018,£54.99,7.28
48,AAA Clock,8th Oct 2021,£8.99,0.0
49,AAA Clock 2,3rd Nov 2022,£8.99,3.33
50,Aaero: Complete Edition,23rd Dec 2018,£10.99,8.01
51,Aaron - The Little Detective,1st Apr 2022,£8.99,0.0
52,Abarenbo Tengu & Zombie Nation,28th Oct 2021,£10.79,0.0
53,Abbie's Farm for kids and toddlers,1st Apr 2021,£8.99,0.0
54,ABC Follow Me: Animals,4th Feb 2022,£8.99,0.0
55,ABC Follow Me: Food Festival,26th Dec 2022,£8.99,6.67
56,ABC Match with Me,4th Mar 2022,£8.99,0.0
57,ABC Search with Me,15th Apr 2022,£8.99,0.0
58,Aborigenus,10th Jan 2020,£4.49,5.02
59,About an Elf,10th Feb 2022,£12.59,7.67
60,Absolute Drift,3rd Dec 2020,£8.99,6.78
61,Absolute Tactics: Daughters of Mercy,14th Sep 2022,£19.49,6.7
62,Abyss,25th Dec 2018,£2.69,3.33
63,Abyss Memory Fallen Angel and the Path of Magic,27th Apr 2022,£14.99,0.0
64,Abyss of the Sacrifice,17th Dec 2020,£35.99,3.33
65,Abyss: The Wraiths of Eden,22nd Jan 2021,£13.49,0.0
66,Abzu,29th Nov 2018,£14.99,8.0
67,ACA NeoGeo 2020 Super Baseball,8th Feb 2018,£6.29,3.33
68,ACA NeoGeo 3 Count Bout,11th Oct 2018,£6.29,0.0
69,ACA NeoGeo Aero Fighters 2,3rd Aug 2017,£6.29,6.75
70,ACA NeoGeo Aero Fighters 3,15th Mar 2018,£6.29,6.67
71,ACA NeoGeo Aggressors of Dark Kombat,13th Sep 2018,£6.29,3.33
72,ACA NeoGeo Alpha Mission II,6th Apr 2017,£6.29,6.4
73,ACA NeoGeo Art of Fighting,21st Sep 2017,£6.29,4.0
74,ACA NeoGeo Art of Fighting 2,11th Jan 2018,£6.29,6.67
75,ACA NeoGeo Art of Fighting 3,2nd Nov 2017,£6.29,3.33
76,ACA NeoGeo Baseball Stars 2,21st Mar 2019,£6.29,3.33
77,ACA NeoGeo Baseball Stars Professional,17th May 2018,£6.29,0.0
78,ACA NeoGeo Blazing Star,2nd May 2017,£6.29,8.3
79,ACA NeoGeo Blue's Journey,7th Sep 2017,£6.29,3.33
80,ACA NeoGeo Burning Fight,28th Sep 2017,£6.29,6.67
81,ACA NeoGeo Crossed Swords,23rd Aug 2018,£6.29,0.0
82,ACA NeoGeo Cyber Lip,20th Sep 2018,£6.29,0.0
83,ACA NeoGeo Fatal Fury,20th Apr 2017,£6.29,5.67
84,ACA NeoGeo Fatal Fury 2,22nd Jun 2017,£6.29,6.67
85,ACA NeoGeo Fatal Fury 3,15th Feb 2018,£6.29,6.67
86,ACA NeoGeo Fatal Fury Special,13th Jul 2017,£6.29,6.67
87,ACA NeoGeo Football Frenzy,30th Aug 2018,£6.29,0.0
88,ACA NeoGeo Galaxy Fight: Universal Warriors,18th May 2017,£6.29,3.33
89,ACA NeoGeo Garou: Mark of the Wolves,11th May 2017,£6.29,6.67
90,ACA NeoGeo Ghost Pilots,26th Apr 2018,£6.29,6.67
91,ACA NeoGeo Gururin,12th Apr 2018,£6.29,6.67
92,ACA NeoGeo Karnov's Revenge,16th Nov 2017,£6.29,3.33
93,ACA NeoGeo King of the Monsters,4th Jan 2018,£6.29,6.67
94,ACA NeoGeo King of the Monsters 2,22nd Nov 2018,£6.29,3.33
95,ACA NeoGeo Kizuna Encounter,10th Jan 2019,£6.29,0.0
96,ACA NeoGeo Last Resort,1st Jun 2017,£6.29,6.67
97,ACA NeoGeo League Bowling,19th Jul 2018,£6.29,0.0
98,ACA NeoGeo Magical Drop II,29th Jun 2017,£6.29,7.33
99,ACA NeoGeo Magical Drop III,22nd Feb 2018,£6.29,8.17
100,ACA NeoGeo Magician Lord,17th Aug 2017,£6.29,6.67
101,ACA NeoGeo Metal Slug,30th Mar 2017,£6.29,7.88
102,ACA NeoGeo Metal Slug 2,6th Jul 2017,£6.29,7.2
103,ACA NeoGeo Metal Slug 3,3rd Mar 2017,£6.29,7.7
104,ACA NeoGeo Metal Slug 4,9th Aug 2018,£6.29,0.0
105,ACA NeoGeo Metal Slug 5,13th Dec 2018,£6.29,0.0
106,ACA NeoGeo Metal Slug X,5th Oct 2017,£6.29,6.67
107,ACA NeoGeo Money Puzzle Exchanger,28th Jun 2018,£6.29,3.33
108,ACA NeoGeo Mutation Nation,26th Oct 2017,£6.29,6.67
109,ACA NeoGeo NAM-1975,9th Mar 2017,£6.29,6.7
110,ACA NeoGeo Neo Geo Cup '98: The Road to the Victory,29th Nov 2018,£6.29,0.0
111,ACA NeoGeo Neo Turf Masters,23rd Mar 2017,£6.29,7.33
112,ACA NeoGeo Ninja Combat,31st May 2018,£6.29,3.33
113,ACA NeoGeo Ninja Commando,6th Sep 2018,£6.29,0.0
114,ACA NeoGeo Ninja Master's,17th Jan 2019,£6.29,0.0
115,ACA NeoGeo Over Top,27th Apr 2017,£6.29,6.67
116,ACA NeoGeo Pleasure Goal: 5 on 5 Mini Soccer,1st Nov 2018,£6.29,0.0
117,ACA NeoGeo Power Spikes II,18th Jan 2018,£6.29,3.33
118,ACA NeoGeo Prehistoric Isle 2,2nd Aug 2018,£6.29,6.67
119,ACA NeoGeo Pulstar,21st Dec 2017,£6.29,6.67
120,ACA NeoGeo Puzzle Bobble,20th Dec 2018,£6.29,6.67
121,ACA NeoGeo Puzzle Bobble 2,7th Feb 2019,£6.29,7.43
122,ACA NeoGeo Puzzled,24th Aug 2017,£6.29,6.67
123,ACA NeoGeo Ragnagard,3rd Jan 2019,£6.29,0.0
124,ACA NeoGeo Real Bout Fatal Fury,8th Mar 2018,£6.29,3.33
125,ACA NeoGeo Real Bout Fatal Fury 2,16th Aug 2018,£6.29,0.0
126,ACA NeoGeo Real Bout Fatal Fury Special,19th Apr 2018,£6.29,3.33
127,ACA NeoGeo Riding Hero,7th Jun 2018,£6.29,0.0
128,ACA NeoGeo Robo Army,19th Oct 2017,£6.29,3.33
129,ACA NeoGeo Samurai Shodown,20th Jul 2017,£6.29,6.67
130,ACA NeoGeo Samurai Shodown II,1st Feb 2018,£6.29,6.67
131,ACA NeoGeo Samurai Shodown III,5th Apr 2018,£6.29,6.67
132,ACA NeoGeo Samurai Shodown IV,13th Apr 2017,£6.29,8.67
133,ACA NeoGeo Samurai Shodown V,5th Jul 2018,£6.29,3.33
134,ACA NeoGeo Samurai Shodown V Special,18th Apr 2019,£6.29,0.0
135,ACA NeoGeo Savage Reign,25th Oct 2018,£6.29,0.0
